from_user,user_followers_count,user_friends_count
5stringpaul,1593,2249
5Tunesaday,800,1383
5xasile,159,154
60sleigh,2589,2110
6494david,2093,2125
666_misbxh,319,249
66ham1,8,146
66usual,1089,1260
67curly,426,415
6chulo,,
6Howff,1242,2860
6Sally7,334,2209
72mollie,132,273
76nottory,439,1372
77dreamers,11,89
77turnbull,1691,2107
7adair,7463,8092
7ba345af8dd9441,877,2277
888Paula,902,807
90percenters,4047,5001
90sAlii,303,174
91Marshy,205,902
94_huz,82,197
95Daniellehall,103,120
97bluethunder,504,963
97thmonkey,5481,4647
98Apples,799,2321
99_adzz,416,243
99redmanmike,429,1619
9aasiya,851,781
9IXEL,392,77
9zulekha,702,543
a__29x,,
a__mxz,1510,767
A_Brooks92,203,36
a_c_harvey,,
A_cute_medic,,
A_Doctor_Who,114,1288
A_J_OSullivan,127,727
A_King_Made,1173,1993
a_lynch98,304,276
a_m_griffiths,28,83
A_moralesgomez,200,513
a_pontepronorte,45,238
A_VikingCycling,3839,5001
A_Weatherall,4927,1845
A_Wyman,505,1024
a01chtra,313,1028
a1m1na,762,1136
a1yssaloveday,54,118
A50Challenge,24560,27543
aa5572156649015,63,81
aaaaahodgson,,
aachaess,25,171
aadams6363,602,583
aaDivorce,122,320
AaiefaA,4,8
Aalibongo,250,1173
Aaliyaaaah_n,25,114
aaliyah_louxx,,
aaliyahwrites,508,438
Aaragorn004,81,469
Aaron_Hazell_,52,79
aaronallpress99,339,380
AaronConteh1,53,98
AaronH300497,1275,3372
Aaronmdaniels,490,1393
AaronWi86994703,8,99
aaronxvad,206,452
AaronYule1994,697,481
aartichokee,53,161
AashnaPatel12,82,65
aaslam,285,247
AATBird,15,193
ABarradine,1436,1495
abbasitahir43,194,73
abbasnasir59,236205,978
AbbeyCareers,488,259
abbie_bbygrl,89,159
Abbie_Nicole0,3,129
abbie_papworth,124,501
AbbieAnne315,243,785
abbieprose,59,208
Abbievdub,49,155
Abbswilko,,
Abby126,135,382
abbyaug,4131,4345
abbyswheel,205,292
abcdpb3,60,192
AbdallahWahishi,320,1598
abdelra94759188,2,2
abdelrahman_10k,787,940
abdi2easy,,
Abdul_Moha23,15,81
AbdulmominAl,3,85
AbdulWadoodPAK,,
AbeerBadr8,,
aberdeenuni,,
Aberdinho,324,584
Abhix8,5,21
AbhorBrexit,4580,4951
Abi_merry_otter,8,39
Abida_2001,355,235
abigail_energy,2007,5003
abilumb,617,1196
Abimcd97,165,177
abipriorxox,98,180
abirhkhn,224,203
abiscarlet19,7,87
abisolabrev,39,231
Abitob,388,129
Ablooty,3770,5000
AbnormalAbner,2823,3017
aborwick_fox,366,1069
AbrahamsJJ,1486,507
ABrown_artbooks,49,199
abs1k_,,
AbsolutelyN01,31,71
AbsonJill,1765,1320
absrainbow,2261,1116
absterk2002,18,24
abstrktd,66,295
abu_yaqoob17,97,117
abulussen,166,118
ABurnett_StMW,,
AbuShelimAhmed,232,338
Abz_J,416,358
abz00000,17,198
ACA_SixthForm,,
ACarpenDigital,1815,1326
acbaraz,61,769
Acclaimed0,175,210
AccommUniKent,1290,128
Ace_Calamity,119,715
acemsdavis1,941,249
aceofspadess___,620,381
aChildOf2Worlds,,
Ackersstan,1092,2327
AcksZoe,3,74
acm639,,
AComasQuinn,,
ACRC_UK,564,101
acsoave,918,2813
Actionjackson,,
ActivismCentre,,
ActorNorris,57,165
acupunctureUSS,,
Ad_1net,199,627
adaaeku,516,461
AdamAllnutt,2028,3358
adambishop_it,898,4723
adambungle,215,889
AdamCli,1767,2407
adamcoatham,,
Adamelkin,189,337
adamkeenan20,,
AdamLamping,1380,2950
AdamLunn08,103,903
AdamMcGibbon,,
AdamMcquade,,
AdamMurfin,236,525
Adamprice,,
adams4apples,705,1022
AdamSykesWirral,,
Adaxxs,1204,1798
AdbySteven,135,227
ADCLcoaching,496,875
addielena,2057,1085
AddyAdelaine,2283,3048
adechapmanlaw,116,354
AdeFashina,587,478
adeinlaw,127,292
AdeleCaversham,1486,996
AdeleEWright,312,672
AdeleMMacK,368,571
Adelere,2708,4975
ademkanso,530,2178
adeolapaquitaa,145,425
adew,3322,1752
AdgeAfrica,57,203
adgethepirate,622,1031
adharanand,13233,1649
adizadiva7,5637,471
ADJames22,343,935
adjusterofloss,,
admiralbooth,245,1064
admkXX,537,258
adoenana,41,94
adorakitty1,221,351
AdriaanBrae,503,884
AdrianAshton3,45,893
AdrianWiddowson,110,362
adriennefj,26,79
ADrummer80,49,363
AdsoMenk,392,362
ADSpongy,109,456
AdultSpectrumTW,512,282
adventuringamy_,660,784
Adviza_Careers,2065,463
advkarthiksesha,202,302
AdWatcher,638,2050
AdyLynch,3750,4377
AdySyder,58,261
AEHALL1982,,
AEloiseKay,904,1732
aerendell49,61,542
aerialgeog,143,281
Aeshahhhh,11,49
aesthetic_stark,251,961
Aetherys27,54,204
af16051107,347,1221
afa_queer,255,289
Afaqmunawar_,63,60
afatscientist,3877,3586
AFCBeer,145,388
AFeatley,125,401
AfiaEnglish,,
AfinaYasmin,768,965
afonso_fonsie,1815,4938
AFreeassange,65,83
africanjawn01,374,1671
africanjewel_,3062,953
africasfinest52,19,135
Afrocheri,2448,988
AfroElland,823,1037
afrofem_,228,820
AfroMinx,165,163
AfternoonLit,156,179
AftertimeTim,469,580
aftjae,1845,1238
"afuahirschâ©, â€œBrit(ish)",,
Afzal4Gorton,,
Afzal86,185,318
agannon183,162,287
agarudnik,1210,1668
AgbodanMiss,208,253
agebraicexp123,53,161
ageingpiers,125,114
agentlegnome,4,4
agentofolympus,10,52
AgiBergman,3921,4993
agirlandme,2802,3641
agreyareben,1278,1837
agrx16,170,228
agustdisillegal,496,591
ahadawi1,911,1453
ahddrv,13945,12124
AhhShushMan,105,118
Ahmari_Bhogal,295,132
ahmed_8072,191,525
ahmedCivJustice,219,171
ahmeddmoharamm_,2,17
ahmedk78,542,599
AhmedM93,8,68
Ahmxna,138,121
ahreetpet,153,459
AHT_MrP,2797,2035
aHumanEvolution,650,635
ahumidlawman,391,619
aichamaiya,432,335
aidantaylor01,,
AIDANTURNER4,301,181
AidenLeeBrooks,475,615
aidizz1e,636,382
AidyMcCallion,265,446
aihhham,29,46
AIice_473,515,522
AikoKusunoki,84,314
AileenSmedley,171,680
aileenwilson_,190,294
aillidh007,69,203
ailsacraig24,474,828
Aiman48404802,63,122
Aimee_Huds,434,1301
aimeebryanx,2032,2705
Aimeetdanso,466,889
aineclareob,2910,5001
ainiah__,184,1241
AinsleyAllister,204,756
Airport70,385,533
airways62,657,1426
aishamusic,35668,36218
AishaTomy,385,606
aishaweris1,97,103
aishawgibbs,259,235
AishTracy,1025,2629
aislingrosennis,,
AJ_ay_it,726,650
aj_bool,839,410
aj_ff16,264,252
aj_muuzik,117,384
AJ00212354,37,456
AjamiBayan,47,40
ajay3bee,109,417
AjayESharma,391,1003
AJellyfish,514,1369
ajen24,161,234
ajfwilson,,
Ajhpolitics,68,711
ajjolley,,
AJMel70,6,96
AJok__,107,223
AJParkauthor,1955,1723
AJRS50203528,354,171
ajshell91,53,85
ajwoodroffe,157,520
ak_bleach,541,389
Akaraaka,810,1131
akashers,1922,2017
akduell,1038,316
AkeemLloyd,89,114
AkehurstHeather,1878,1758
akhlilridza,521,401
akhtar_abrar,232,1569
AkinAjanaku,73,160
akinsey08,2205,4215
akomainstitute,166,217
AKondakor,232,372
akrasi_maxwell,659,671
Al_Bellie,455,459
AlacoqueMarvin,70,159
aladetteinsane,1144,1847
AlAdnane420,49,564
alainshort,848,207
alan_gibbs,3443,2999
alan_hemmingway,634,1915
alan_maitland,4,19
alan_matts,8464,9286
alan_shaefer,15,107
alan_winfield,,
alan2907,692,1496
alana_b98,729,688
alanhouse001,174,505
alanjarnett,450,792
alanlaw,1050,3136
AlanLewCh,1291,1886
AlanLor91118076,313,787
AlanLumb1,10,87
AlanMakMP,9468,2792
AlanMembury,315,207
Alannobbs,5238,1648
AlanSheen,89,343
alanstiv,2107,4826
AlanTait,1886,2444
Alaskaherb1,1362,1590
Alastair_Ross,688,1259
alastairis,1757,3433
AlastairMcInty2,301,89
Alba39,,
Albana_rexha5,158,147
albertfeynman,472,1362
AlbertoDalBian,14,149
albrees13,196,609
alcott_max,,
AldaamStudy,22,149
AldashM_,218,216
alds38,,
alecedworthy,203,455
