id,user_followers_count,user_followed_count,number_tweets,Profile
NSCarers,1934,2449,0,ONG
piyakhanna,1931,2994,1,Other
Mrs_FlangeE,1917,1809,1,Other
laylapup,1911,1579,1,Other
andycarmich,1892,801,1,Other
G4LMATT,1882,1210,3,Other
politicsastar,1876,1448,3,Other
AnnieBannister,1859,1543,1,Other
malinimehra,1793,2226,1,Activist
BilalE74,1789,1645,0,Other
clarky2006,1727,4654,1,Other
SDinPraxis,1715,5002,1,Other
keepsayingit1,1706,1157,1,Other
sev_kudu,1696,176,1,Other
LisatheSimpson,1684,1723,1,Other
MAEgofrance,1634,1273,1,Other
Greg_Dryer,1602,1102,1,Other
DebiAllen,1591,1680,1,Other
jenben71,1559,2084,1,Other
MrsMcBHistory,1535,656,0,Professor/Researcher
celticchickadee,1491,2593,7,Other
garfage,1476,1687,1,Journalist
nehaalfhb,1470,2487,1,Other
graceholliday,1457,1576,1,Other
Ras63H,1454,1852,1,Other
_ashixo,1446,484,1,Other
capitalism_cure,1440,1473,1,Other
kwerkyknits,1428,2440,0,Other
RosAsquith,1419,485,1,Artist
sophyh_,1406,1202,1,Other
noacfloz,1393,1342,1,Other
morescribbles,1392,1413,1,Other
CullinaneCarl,1352,791,0,Other
rpmwebs,1340,1310,1,Other
Specktator100,1331,1475,0,Journalist
krsegal,1325,1523,1,Other
Paul_Stocks_IFA,1319,1506,1,Other
SusanSt51,1313,1452,1,Other
WomenEd_Aus,1299,603,1,Other
BurnBanksy,1297,1519,1,Other
ithinkzacknows,1296,2177,1,Other
jmb1256,1264,1856,2,Other
ProUdin2016,1238,417,1,Other
KerryLeeCrabbe,1232,1331,1,Other
IanSpindley,1230,1571,1,Other
twittwootwiggy,1224,473,1,Other
scorpiotiger77,1181,5001,4,Other
thehysteriaco,1154,640,0,Other
dorsetlad,1148,952,1,Other
_meganbradbury,1137,1258,1,Other
parisjewell2,1134,1431,1,Other
georgia24se7en,1120,778,1,Other
LookingGlassD,1078,1237,1,Other
TickPritch,1078,1032,1,Other
eleanor_kirby_,1070,951,1,Other
katyraines,1069,152,0,Other
hftaman,1058,1046,1,Other
jodietbeck,1046,750,0,Other
daveshep1,1044,1136,2,Other
AngryNotTory,1030,1489,1,Other
peterel74038008,1020,2316,1,Other
DebbieQuick9,1017,1414,1,Other
EleanorBigby,1014,2250,1,Other
AliMoirioMilA,986,2665,1,Other
bestepekoleji,966,2,1,Other
DrAlister,959,934,0,Professor/Researcher
coco_delle,952,993,1,Other
hillarygyebi,950,658,2,Other
AlexandraGazi,922,441,0,Other
hypersonicfenty,899,630,1,Other
tayfxx,894,1102,1,Other
Amscreen_Steve,884,852,1,Other
MusicSnobb,884,1373,1,Other
RobMcInnes,873,1239,1,Other
TheMisbourne,873,179,0,University/School
ArzooAhmed,831,1197,1,Other
cwagstaff,824,1179,1,Other
DianaPowves,807,2024,3,Other
DrNicholasPGeo1,802,1474,0,Activist
JnthnMorse,799,2720,1,Other
TymVirginia,797,1945,2,Other
beth_paiige,795,406,1,Other
Miss_NRoberts,786,241,0,Professor/Researcher
ItsDresWay,784,980,1,Other
DonWurkin,771,1942,1,Other
kimichaddahx,759,179,0,Other
cazjd1,743,1964,1,Other
ELEAN0RDAISY,733,667,1,Other
ValeriePezeron,723,1490,1,Other
DrSelvarajah,713,517,1,Other
ZulaikhaIqbal1,705,140,1,Other
isi_j_ukpo,704,551,1,Other
alan2907,692,1496,1,Other
dclovesgp,683,712,1,Other
Green_Cycles,633,4978,1,Other
smiffquiff1,625,1231,0,Other
