id,user_followers_count,user_followed_count,number_tweets,Profile,
NickyHields,322,855,1,Other,
nickyjmad,189,618,1,Other,
noacfloz,1393,1342,1,Other,
NoCake4Brexit,3922,4983,1,Activist,
NorwichChloe,18184,382,0,Politician,
NSCarers,1934,2449,0,ONG,
ofqual,44831,521,0,Public office,
Ohloophemmy,40,340,1,Other,
OlazOmosco,210,512,2,Other,
oliviajjayne,343,111,2,Other,
oneillb71,225,498,1,Other,
OpenUniversity,165868,419,0,University/School,
pancakeson,378,281,1,Other,
parisjewell2,1134,1431,1,Other,
Paul_Stocks_IFA,1319,1506,1,Other,
Pause2P,7,30,1,Other,
petermccue1,2888,2670,1,Other,
PhilipPullman,193793,764,0,Writer,
piersmorgan,7971524,1848,0,Journalist,
piyakhanna,1931,2994,1,Other,
plewiscantlose,1950,1782,1,Other,
politicsastar,1876,1448,3,Other,
PrincessPowPow_,31,23,1,Other,
ProfTimBale,36576,3052,0,Professor/Researcher,
ProUdin2016,1238,417,1,Other,
Rami_London,413,1178,1,Other,
Ras63H,1454,1852,1,Other,
rayraytee88,231,500,1,Other,
razzacha,56,160,2,Other,
renee_thaxter,535,308,0,Other,
RhubarbVaselino,171,1559,1,Other,
robbcorin,66,27,1,Other,
RobMcInnes,873,1239,1,Other,
RobMcMillan19,2,31,1,Other,
rowlsmanthorpe,22133,1976,0,Journalist,
Rozkez67,18587,14681,0,Activist,
RufusTFirefly61,5116,4796,1,Politician,
RyanJoshuaCole2,5,44,1,Other,
S_Hammond,19556,1259,0,Politician,
salzo_zx,32,281,1,Other,
sandraoconnell,66,338,1,Other,
scorpiotiger77,1181,5001,3,Other,
seanosullivan,262,337,1,Other,
sev_kudu,1696,176,1,Other,
SFlinn67,457,725,1,Other,
ShelaghFogarty,91789,5801,0,Media organization,
shes_saturn,0,0,0,Other,
shotbylucynorth,365,1043,0,Other,
SilvergnomeNo1,316,560,1,Other,
simonedens,551,671,1,Other,
SimonPease1,9497,6119,0,Activist,
simrandeepkhj,43,58,1,Other,
SkyNews,7105643,27,0,Media organization,
SkyNewsBreak,4785524,3,0,Media organization,
SNPsoosie,0,0,1,Other,
Socialist_party,14329,480,0,Political Party,
